id,link,text
7000,https://jsom.utdallas.edu/internship-stories/7000,"['e e', '\n\t\t\t\te\t\t\t', '\n\t\t\t\te\t\t\t', '\n\t\t\t\tFIN 3365: REAL ESTATE FINANCE & PRINCIPL, FIN 4300: INVESTMENT MANAGEMENT, FIN 4307: PRIVATE EQUITY, FIN 4310: INTERMEDIATE FIN MGMT\t\t\t', '\n\n\t\t\t\te ', '\n\t\t\te, e\t\t\t', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7001,https://jsom.utdallas.edu/internship-stories/7001,"['Vanisha Rodrigues', '\n\t\t\t\tInformation Technology and Management\t\t\t', '\n\t\t\t\tZips Car Wash\t\t\t', '\n\t\t\t\tACCT 6349: MANAGING DIGITAL STRATEGY, BUAN 6320: DATABASE FNDNS BUS ANALYTICS, BUAN 6344: WEB ANALYTICS, BUAN 6346: BIG DATA, MIS 6373: SOCIAL MEDIA BUSINESS\t\t\t', ""\n\n\t\t\t\tZips Car Wash, headquartered in Little Rock, Arkansas, US provides classic car wash services that are easy, fast, reliable, and pretty darn fun. Driven by Vision â€“ To Bring Joy To Your Journey and a Mission - To Be The Most Trusted Destination To Quickly Clean Your Car, Zips plans on sticking around for as long as there are cars (and dirt) on the road.\nThis Fall Semester I got the opportunity at Zips Car Wash to work as a Marketing Analyst Intern and grow deeper in segments of Digital Strategy and Business Development under the direct guidance of CMO Mark Youngworth and VP of Marketing Sean Mathews.\nI oversaw a number of initiatives under the direction of the VP of Marketing in order to ensure relevant and individualized marketing communications and offers to promote member retention and growth. Alongside, I tracked and optimized performance on channels with strong growth rates (such as email, social media, and search), identifying potential opportunities and risks. Presented and acted on recommendations to enhance marketing initiatives.\nI had the opportunity to work with an incredibly brilliant Technology Manager Ian Streckel In order to extract, analyze, and report on business development findings and actionable insights to enhance retail/membership traffic, membership sales, and customer retention.\nI also had the privilege to collaborate with Marketing Coordinator Taylor Thompson, yet another incredibly creative and bright individual, in developing Social Media Ads, Google, and GMB campaigns to target different Branded and Non-Branded keywords and monitor their effectiveness in different campaigns. \nTracking the users in Zips' membership process was one of the most significant projects I worked on throughout my internship. I utilized the BI tool Domo to comprehend the membership's recentness, frequency, and efficacy. For which I combined databases from Google Analytics and Azure Data Studio to provide dashboards and automated reports for tracking and reporting user profiling, and KPI performance.\nI have the privilege of working out of the Zips corporate office in Plano, Texas, where I am surrounded by so many talented people who own and share their expertise and skills, brainstorm ideas in team meetings and have team lunches, pizzas, and cookies together. They have also given me the chance to experience the US corporate culture with them. It has certainly been a dream come true.\nTo conclude, I want to express my gratitude to the #UTDJSOM ITM Department, Professor Mark Thouin, and the JSOM Career Management Center for their unwavering support, assistance, and guidance. And for giving me the chance to explore, tackle, and comprehend brand-new ideas and theories while learning how to apply everything I am learning in the everyday world.\n#UTDMSITM "", '\n\t\t\tJSOM Handshake, JSOM career event, Internet (e.g. company website, job search engines)\t\t\t', 'Hello Connection!\n\nMy internship at Ayoka Systems is in its second semester. That was  ...', 'This fall I got the opportunity to be a Torcâ€™r!\nTorc Robotics is a pioneer in self-driving  ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7002,https://jsom.utdallas.edu/internship-stories/7002,"['Neeraj Reddy Varakantam', '\n\t\t\t\tInformation Technology and Management\t\t\t', '\n\t\t\t\tTesla\t\t\t', '\n\t\t\t\tMIS 6360: AGILE PROJECT MANAGEMENT\t\t\t', ""\n\n\t\t\t\tThis Fall'22, I have had a wonderful opportunity to Intern as a Software Product Manager at Tesla. I will absolutely treasure every experience that this internship has given me, from learning to implementing, approaching internally and externally, and developing success from failures.\nDuring my internship, I worked on service application teams in tesla's Fremont office in California. It is well known that tesla as a company is one of the biggest of its kind defining industry standards for electric cars, software and other tech, but it still functions as a startup internally. It's been an great experience to personally work in its fast moving internal developments, as my own project of implementing analytics using a tag management system -'allows to quickly and easily update measurement codes and related code fragments collectively known as tags on websites'- to service sites is getting groomed to be onboarded soon, which might have taken more time to implement in other big-tech.\nAlthough I worked at Tesla for only few months, it's traditionally description as an automotive and clean energy company does not totally represent it because Tesla has been doing all of its software programming in-house and has basically grown up as as software and tech company first, and automaker second. It's amazing to see what the company is working on in future (robotaxi) and has been able to achieve in recent times - (optimus, dojo, semi).\nThese past months have been of exceptional learning and I want to thank my manager Shane D'Agostino, product teams, software development teams and Giliat Ghebray for providing this opportunity.\nAlways thankful to Brent Bath and Moyez Thanawalla, Salesforce MVP for their invaluable input.\nLastly, I would like to thank professor Mark Thouin, Donna P. Nix and Naveen Jindal School of Management, UT Dallas at The University of Texas at Dallas for their constant support and for offering a flexible, well-structured curriculum.\n#UTDMSITM "", '\n\t\t\tInternet (e.g. company website, job search engines)\t\t\t', 'Hello Connection!\n\nMy internship at Ayoka Systems is in its second semester. That was  ...', 'This fall I got the opportunity to be a Torcâ€™r!\nTorc Robotics is a pioneer in self-driving  ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7003,https://jsom.utdallas.edu/internship-stories/7003,"['Khwaja Zarar', '\n\t\t\t\tFinance\t\t\t', '\n\t\t\t\tLumos Marketing Group\t\t\t', '\n\t\t\t\tBCOM 3200: INTRO BUS & PROF DEV, FIN 3320: BUSINESS FINANCE\t\t\t', '\n\n\t\t\t\tFor my internship experience I went to work at Lumos Marketing Group as this was my first time working in any type of professional setting. My expierence was fulfilling to say nonetheless as I learned to be a better speaker and coworker. I met great people along the way who helped me gain a better understanding of the world of finance/marketing. I had the privilege of going to different sites and talking with different non profit charities in relation to future finances. My mentors did a great job in training me on what to say, and how to gain more confidence during this process. \nIn this position I was also taught how to be a coworker within a professional setting. Since we were paired off on different days with other members of the staff, it was a pleasure to see how they operate and getting to know them personally. Since we were working with non profit most of my time here, getting to see each non profitâ€™s cause and meet the people within the company was great to be a part of. Overall, I enjoyed my time at Lumos Marketing Group as the company showed me how to be more professional while teaching me how to become a better analyst.  Lumos Marketing Group is the perfect way to start my career in finance, as they gave me the perfect start for my career! \n#UTDBSFIN\n#hireJSOM ', '\n\t\t\tInternet (e.g. company website, job search engines)\t\t\t', 'As I am reaching the end of my college career, I wanted to take a moment and reflect on my internshi ...', 'This past summer, I had the pleasure of interning at CeeChat as the Project Management Intern in Hou ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7004,https://jsom.utdallas.edu/internship-stories/7004,"['Abhishek Sunil Bhadange', '\n\t\t\t\tInformation Technology and Management\t\t\t', '\n\t\t\t\tApplied Concepts, Inc.\t\t\t', '\n\t\t\t\tMIS 6326: DATA MANAGEMENT, MIS 6382: OBJECT ORIENTED PROGRAM PYTHON\t\t\t', ""\n\n\t\t\t\tThis Fall, I got the opportunity to intern as a IT Analyst, at Stalker Radar, a company that is trusted by more law enforcement agencies than all other police radar manufacturers combined.During my internship, I planned and used my programming skills to create a proof of concept based on the business requirements I was provided. I was able to gain hands-on experience while learning new tools and technologies. I'd like to thank my manager, Bruce Park for giving me this internship opportunity. I would also like to thanks HR Sandra for helping me throughout with the on boarding process. Special thanks to my mentor Connor who always helped me with all of the doubts i had while working on the ACI products. It was indeed a great experience to work with all of the teammates.   \nMy JSOM coursework has assisted in laying the groundwork and preparing me for this internship. In light of this, I would like to thank The University of Texas at Dallas for offering us an excellent MSITM program. I also want to thank the the Naveen Jindal School of Management, UT Dallas, faculty for helping us to acquire skills that apply to the industry.\n#UTDMSITM #jsom "", '\n\t\t\tInternet (e.g. company website, job search engines)\t\t\t', 'Hello Connection!\n\nMy internship at Ayoka Systems is in its second semester. That was  ...', 'This fall I got the opportunity to be a Torcâ€™r!\nTorc Robotics is a pioneer in self-driving  ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7005,https://jsom.utdallas.edu/internship-stories/7005,"['Christopher Gilmore', '\n\t\t\t\tFinance\t\t\t', '\n\t\t\t\tState Farm Insurance Company\t\t\t', '\n\t\t\t\tBCOM 4300: MANAGING COMMS IN BUSINESS\t\t\t', '\n\n\t\t\t\tI had the pleasure of spending my summer as a Property & Casualty Claims intern at State Farm. State Farm protects its policyholders from the unexpected and has provided continuous coverage for the past 100 years. I am honored to have been able to take part in a renowned organization and have been able to contribute to their cause.\nI want to thank my managers, learning facilitators, and mentors for being alongside me throughout my experience. I have learned many valuable lessons that I will carry throughout my career, but one that stuck the most is the importance of establishing meaningful relationships. From the start, I was welcomed into the organization and felt a true sense of belonging.\nDuring my time at State Farm, I was able to familiarize myself with the protocol for handling claims and how State Farm is there for its customers every step of the way. I also witnessed firsthand how all the different departments in the organization work together to improve the experience internally for employees and externally for customers. Not only that, but I also had the opportunity to present a project alongside my peers to some of State Farmâ€™s Vice Presidents of Operations. #UTDBSFIN #hireJSOM ', '\n\t\t\tInternet (e.g. company website, job search engines)\t\t\t', 'My experience with Marten Transport was great. I was able to gain real experience of what a career w ...', 'As an Accounting Intern at BV Powersports LLC, I had a tremendous opportunity to expand my knowledge ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7006,https://jsom.utdallas.edu/internship-stories/7006,"['e e', '\n\t\t\t\te\t\t\t', '\n\t\t\t\te\t\t\t', '\n\t\t\t\tBCOM 3310: BUSINESS COMMUNICATION, BCOM 4350: ADVANCED BUSINESS COMMUNICATNS, FIN 3320: BUSINESS FINANCE\t\t\t', '\n\n\t\t\t\te ', '\n\t\t\te, e\t\t\t', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7007,https://jsom.utdallas.edu/internship-stories/7007,"['Dain Gunby', '\n\t\t\t\tFinance\t\t\t', '\n\t\t\t\tNorthwestern Mutual - Dallas\t\t\t', '\n\n\t\t\t\tMy fall semester interning at Northwestern Mutual as a financial representative has been an incredible experience. I found the internship wildly beneficial as I got to escape the vacuum of college learning and see how part of the real world operates. \nRight off the get go, leadership put a heavy emphasis on learning and practice. Rightfully so! I learned how a financial plan works and how the different pieces interact very early on, which was something I was always curious about. I also got valuable practice speaking with professionals in various industries which I will hopefully keep with me for the future.\nThe biggest takeaway was by far the Northwestern Mutual hospitality and support. I have met some of the kindest people in my short time here and I am truly thankful for that. Will Bramblett, MaKenzie Rasch, and Meredith Bramblett nurtured me from the very beginning and truly made this such a valuable experience. For that, I am truly grateful! In addition to them, the advisors around me were so friendly and accepting that I was able to feel comfortable very early on. Something that was very important to me! Everybody truly was willing to drop anything to help the college intern and that is something I wonâ€™t forget.\n#UTDBSFIN #hireJSOM ', '\n\t\t\tJSOM Handshake, Personal connection (e.g. family, friend, colleague), Don\'t have other pictures because I\'m not an instagram girl, use no picture please. ever seen encourage"" used for something madatory...\t\t\t', 'My experience with Marten Transport was great. I was able to gain real experience of what a career w ...', 'As an Accounting Intern at BV Powersports LLC, I had a tremendous opportunity to expand my knowledge ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7008,https://jsom.utdallas.edu/internship-stories/7008,"['Casey Cooper', '\n\t\t\t\tFinance\t\t\t', '\n\t\t\t\tKAT Executives\t\t\t', '\n\t\t\t\tOBHR 4310: BUSINESS ETHICS\t\t\t', '\n\n\t\t\t\tMy internship at KAT Executives gave me a more complete experience than I could have ever asked or planned for. With the training and support of great people, especially my manager Pierce, I worked in and learned about every departmentâ€™s function. Financial forecasting, technology procurement, and recruiting are just three of the business activities I engaged in. Though I did get to learn a lot about the companyâ€™s financial practices, I appreciate KAT Executivesâ€™ efforts to show interns the many working parts of a business. I even got to practice my marketing (sales) skills with potential customers! \nWhat I will cherish most about this internship is the people. Working in a Mid-size Enterprise, even the interns had opportunities to have meaningful calls and meetings with company executives. Learning that these important people have done the work I was doing, and were in my position once, makes me want to start my own business and inspire a new generation to work hard, just like these individuals did for me. \nAfter finishing this internship program and accomplishing goals I set when I was first hired, I am now extremely excited to start a career after graduating. \nThank you, KAT Executives, for the opportunity!\n#UTDBSFIN\n#hireJSOM ', '\n\t\t\tInternet (e.g. company website, job search engines)\t\t\t', 'My experience with Marten Transport was great. I was able to gain real experience of what a career w ...', 'As an Accounting Intern at BV Powersports LLC, I had a tremendous opportunity to expand my knowledge ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
7009,https://jsom.utdallas.edu/internship-stories/7009,"['Ubayd Kasim', '\n\t\t\t\tFinance\t\t\t', '\n\t\t\t\tFisher Investments\t\t\t', '\n\t\t\t\tFIN 3320: BUSINESS FINANCE, ITSS 3300: INFORMATION TECH FOR BUSINESS\t\t\t', '\n\n\t\t\t\tAs the Fall semester comes to an end, I want to share my experience interning for Fisher Investments as Junior Associate. Throughout my experiences here, I have learned countless amounts of new skills, improved existing skills, and met a talent full pool of individuals. I worked primarily worked in the operations team a part of the private client group, where our main function was client retention. My personal responsibilities included extensive contact and communication with our clients, an area I was looking to improve prior to joining the firm. I called clients on the basis of asking about their needs and relied information to them on behalf of upper management. Along with the communication component of this internship, I also brushed up tremendously on my technical skills, the use of Microsoft Office was imperative to this role, specifically outlook and access, along with a CRM system .  \nAlong with my normal role duties, I also received insight into the functions of upper management and other associate positions. I specifically got to learn more about what our Financial Planners, Estate Planners, and Investment counselors do, as I worked directly under them. \nOverall, I had an amazing and meaningful experience in this Junior Associate position; without a doubt it should serve me well in my future ventures!\n#UTDBSFIN #hireJSOM ', '\n\t\t\tInternet (e.g. company website, job search engines), N/A\t\t\t', 'My experience with Marten Transport was great. I was able to gain real experience of what a career w ...', 'As an Accounting Intern at BV Powersports LLC, I had a tremendous opportunity to expand my knowledge ...', 'Copyright © 2023, All rights reserved.800 W Campbell Road,Richardson, TX 75080, USA · (972) 883-2705']"
